seq_num,board_time_us,event_type,sensor_id,delta_us,flags,sync_state,confidence,tier,loss_detected,seq_gap
2335,195000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2347,196000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2359,197000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2371,198000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2383,199000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2395,200000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2407,201000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2419,202000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2431,203000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2443,204000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2455,205000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2467,206000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2479,207000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2491,208000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2503,209000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2515,210000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2527,211000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2539,212000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2551,213000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2563,214000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2575,215000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2587,216000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2599,217000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2611,218000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2623,219000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2635,220000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2647,221000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2659,222000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2671,223000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2683,224000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2695,225000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2707,226000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2719,227000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2731,228000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2743,229000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2755,230000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2767,231000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2779,232000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2791,233000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2803,234000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2815,235000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2827,236000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2839,237000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2851,238000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2863,239000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2875,240000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
